property_id,date_posted,days_on_zillow,price,description,beds,baths,year_built,latitude,longitude,lot_size,living_area,address_street,address_city,address_state,address_zipcode,reso_has_garage,reso_has_attached_garage,reso_garage_parking_capacity,reso_parking_capacity,reso_attic,reso_stories,reso_basement_yn,reso_has_cooling,reso_has_heating,reso_is_new_construction,reso_elementary_school,reso_middle_or_junior_school,reso_high_school,reso_tax_annual_amount
51315970,2023-07-06,948,275000,"Well maintained ranch in desirable South Ridge.  This 4bd/2ba gem features vaulted ceilings in living room with built in bookcases, granite countertops in kitchen and a garden shed in the fenced yard.  Roof was new in 2021.  Other recent updates include new lighting, kitchen and bathroom cabinet hardware, new faucets and new cellular shades.",4,2.0,2000,40.07774,-88.18373,9583.0,2172.0,1904 Autumn Ridge Dr,Urbana,IL,61802,True,1.0,2.0,2,,1.0,1.0,1.0,1.0,0.0,Thomas Paine Elementary School,Urbana Middle School,Urbana High School,7236.0
89051094,2023-07-06,936,525000,"Lakefront ranch home in Will's Trace Subdivision offers open living space with ample natural light and high-end finishes. This home has over 4,000 sq ft of finished living space and features a floor-to-ceiling stone fireplace, stunning crown molding and trim, and gleaming hardwood floors. Gourmet kitchen is ideal and comes with built-in gas range and oven, granite counters, stainless appliances and gorgeous white and wood cabinetry. There is a flex room off of the kitchen and family room that could be used as a formal dining room, office or study.  Each of the entrances to this room have glass pocket doors. The luxurious master suite on the first floor overlooks the lake and features exquisite back-lit tray ceiling, large walk-in closet, en-suite with dual vanities, separate soaking tub and enclosed glass shower. The split floor-plan allows for more privacy and the two additional bedrooms on the main level have a Jack and Jill bath. The basement living space features a great room perfect for entertaining guests, a large bedroom with walk-in closet and a full bath, and a flex room in that could be used for an office, playroom or gym.  Relax on the backyard deck and enjoy the lake views or cross the street to Robert Porter Family Park.",4,4.0,2012,40.088593,-88.33054,8658.0,2323.0,5104 Stonebridge Dr,Champaign,IL,61822,True,1.0,3.0,3,,1.0,1.0,1.0,1.0,0.0,Champaign Elementary School,Champaign Junior High School,Champaign High School,13131.0
3231021,2023-07-06,949,221500,"This home is move-in ready with many updates.  As you enter the newly opened floor plan you will notice a  completely remodeled kitchen with a nice-sized island, farmhouse stainless sink, and stainless matching appliances (2019).  New roof, gutters, and shutters in 2022.  The Furnace, Air Conditioner, and Hot Water Heater are all new in 2017.  There was added insulation in the attic in 2020.  The electric panel has been upgraded to 200amp in 2017 with a new exterior connection mast to the service line.  All air ducts were professionally cleaned in 2023.  The lower level has a nice laundry/bath combo with a brand-new commercial-grade Washer/Dryer (new in 2023). The extra large backyard is very secluded with new grass, nice foliage, and a garden shed.  Southwood Subdivision offers many concrete paths for a quick breath of fresh air.  Also close proximity to Robeson Elementary, Centennial High, and bus lines that lead to Campustown, Downtown, or even the City of Urbana.  Easy Living.",3,2.0,1960,40.096573,-88.28295,11761.0,1604.0,1902 Crescent Dr,Champaign,IL,61821,True,1.0,1.0,1,,,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,3862.0
72591068,2023-07-06,958,284900,Nearly new 3 bedroom 2 bathroom home with HUGE oversized lot in South Ridge neighborhood!   THINK Urbana property tax discounts transfer to the new owner with still a few years left.  The property has been meticulously maintained with laminate flooring throughout and granite counters in the kitchen. The kitchen is fully applianced and features high quality cabinetry with soft close doors and drawers. The bedrooms are setup with split floor plan.  The master bedroom features a walk in closet and bathroom with walk-in tiled shower and dual sink vanity.  The other side of the home features two bedrooms and a full bathroom.  The property has been improved with solar panels on the roof!,3,2.0,2021,40.074173,-88.18483,11325.0,1510.0,3411 Memory Ln,Urbana,IL,61802,True,1.0,2.0,2,,1.0,0.0,1.0,1.0,0.0,Thomas Paine Elementary School,Urbana Middle School,Urbana High School,1540.0
3201835,2023-07-07,886,700000,"This stunning 4 bedroom, 6 bathroom estate offers over 6,100 square feet of luxurious living space and sits on a sprawling 2.14 acres, in Thor-O-Bred Acres. The gourmet kitchen is equipped with top of the line stainless steel appliances, granite counters, and a large island with a cooktop - perfect for entertaining since it's open to the dining room featuring a cozy fireplace. The living room has a second fireplace and high ceilings, creating an inviting atmosphere. The first-floor primary suite is a true retreat with a large walk-in closet and the en-suite is designed for relaxation with a jacuzzi tub, a 9 head programmable Kohler steam shower, ceramic tile, and corian countertops and surrounds.  Two additional bedroom suites upstairs, allowing privacy and comfort for your guests.  There are laundry rooms on the first and second levels for convenience. The house is energy efficient with triple paned windows and geothermal heating and air conditioning. The basement has been newly refinished with a recreation room and bathroom. There is also a 1,700 square foot garage perfect for your RV, hobbies and/or more vehicles.  This home is the perfect combination of luxury and comfort!",4,6.0,1998,40.187492,-88.26865,93218.0,5720.0,2106 Laurel Park Pl,Champaign,IL,61822,True,1.0,3.0,3,,1.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Central High School,14518.0
3222584,2023-07-07,991,38000,Sold at list,4,2.0,1904,40.126923,-88.25994,6968.0,1671.0,919 W Bradley Ave,Champaign,IL,61821,False,,,0,,2.0,1.0,1.0,1.0,0.0,,,,2870.0
59716003,2023-07-07,955,347400,"Welcome home to this meticulously maintained 4 bedroom, 2.5 bath beauty featuring peaceful water views in Champaign's Glenshire subdivision! The inviting front porch is surrounded by mature landscaping and leads into the open foyer. Find incredible space on the main level featuring a separate dining room with tray ceiling, open kitchen with center island, granite counters and spacious living room featuring a cozy fireplace with built in shelving, plus bonus flex room. Completing the main level is a convenient half bath, laundry room and bonus butler's pantry. Head up to the primary suite through French doors to discover beautiful natural light streaming through the large windows, walk-in closet and private full bathroom with double sinks and separate soaking tub. Three additional guest bedrooms and the shared second bathroom complete the second floor. Need more? Check out the full, unfinished basement for even more storage solutions plus potential for an additional bathroom. Take in all the beautiful sunshine shimmering off the water on the back deck overlooking large fenced yard! Schedule you private tour of this incredible find today!",4,3.0,1994,40.09955,-88.30698,,2256.0,1515 Casselbury Ln,Champaign,IL,61822,True,1.0,2.0,2,,2.0,1.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,6210.0
3230112,2023-07-07,950,215000,"Awesome, well cared for Ranch situated on quiet side street, yet close to shopping, bus lines.  Enter into a large living room with cathedral ceilings, easy care laminate flooring,  dining area, and pass thru window to kitchen.   Roof in 2020, house siding 2021,  2021 carefree deck. Thermo windows . Bedrooms have new carpets, Primary bath has step in shower, newer toilet, vanity.  Closets have organizers. Kitchen redone with newer cabinets, microwave, dishwasher, stove.  Washer/ dryer in hall closet.  Hall full bath also has new toilet and vanity.  Garage has loads of storage/ built in, with pull down attic stairs. Rear Yard is fenced with small storage shed.   Make this your new home.",3,2.0,1985,40.096462,-88.29118,7400.0,1425.0,2702 Hathaway Dr,Champaign,IL,61821,True,1.0,2.0,4,Pull Down Stair,1.0,0.0,1.0,1.0,0.0,Champaign Elementary School,Champaign Junior High School,Centennial High School,3246.0
3220175,2023-07-07,959,130000,"This adorable three-bedroom home is move-in ready!  Natural light floods the spacious living room highlighting the hardwood floors.  The kitchen has plenty of room for your table to gather with friends & family.  Laundry room off of the kitchen with cabinets for additional storage.  All three bedrooms boast hardwood floors.  The remodeled bathroom offers a jetted tub.  You will love relaxing or entertaining on the back patio overlooking the beautifully landscaped backyard.  Don't miss this one, call today to schedule your private showing!",3,1.0,1955,40.135357,-88.26771,6000.0,1026.0,1818 Melanie Ln,Champaign,IL,61821,True,0.0,1.0,1,,1.0,0.0,1.0,1.0,0.0,Unit 4 Of Choice,Champaign/Middle Call Unit 4 351,Centennial High School,1669.0
3226045,2023-07-08,927,340000,"Outstanding location, only a block North of Hessel Park!  This very loved and meticulously maintained mid-century home, has  been continually cared for and updated thought out the years...for the past 53 years...Pride of ownership shines through Nearly 2400 finished sqft above ground, (1900 sqft on the main level) Very versatile 1.5 level, 3 (or 4) bedrooms, 2 full baths and 2 (or 3) living spaces.  Classic mid-century curb appeal under a canopy of mature trees with stunning landscape, a long walkway leading to the covered porch entry. Spacious entry with original ceramic tile/brick style flooring, opens to an enormous living room, complete with mid century brick fireplace with solid walnut mantle. Large picture window facing the park like back yard. Original solid redwood paneling and  built in shelving. Original wood work has not been painted, and original hardwood floors in entire home  (except for the stairs/second level/kitchen/baths/laundry) Wonderful, flowing floor plan features a formal dining room with lovely table side window views and open side to  the living room,  French doors leading to the family room and a pocket door to the kitchen. Updated main bath has custom tiled shower and walls, glass doors, heated tile floors and a high end vanity/mirror cabinet. The original porch has been professionally converted to a family room, open to the kitchen that has a wall of windows to enjoy the stunning green back yard views. A new screen porch was then added, with built in benches and access from the kitchen and to the deck.  Kitchen with table space, seating for two barstools, and open views to the family room.  Loads of solid Hickory 36"" custom cabinets, upscale stainless built in double oven, cook top (2015) refrigerator, and dishwasher (2010).  A significant addition was built on in 1994 to extend the kitchen, create a large 2nd bath and a spacious separate laundry room with a newer washer/dryer. Second full bath was conveniently added down the hall from the kitchen. The generous sized ""mud"" room provides direct assess from the garage to the kitchen. When it was time for windows  custom Pella windows were selected. Roof by Dick Butler in 2019. Very high end, efficient HVAC with boiler heat in 2010. (a/c 2003) Head upstairs for a wonderful space that could be used in many ways! It would make a super large, private master bedroom. There is a HUGE walk in attic and plenty of space to add a 3rd master bath, a large walk in closet and  still have tons of storage space. This upper level would also make a dream office, play room or 3rd living space.   Gorgeous, park like, private, fenced back yard has large deck, mature trees and  has been lovingly landscaped with a great variety of plantings, blooming bushes, trees and gardens.  Garage measures out to an oversized 2 bay  (27 x 21) but has a single door, with  the rest used as storage/shop space. (possible to convert to a two car garage door) Extra long concrete driveway to hold 5 cars.  Gigantic walk in attic for endless storage or expansion. Special homes like this are rare to come by, and don't last long... especially in this very sought after, Grid 46 location so close to Hessel Park! Built in  1947 when they built  homes with solid redwood siding, and copper piping, hot water heat and expert craftsmen/carpenters that cut each piece with pride and care... even putting trim inside the closet doors! You will not not be disappointed with this one! Call your Realtor to schedule your private showing today!",4,2.0,1948,40.10199,-88.25353,13503.0,2381.0,611 Hessel Blvd,Champaign,IL,61820,True,1.0,1.0,6,Unfinished,1.0,1.0,1.0,1.0,0.0,Champaign Elementary School,Champaign Junior High School,Central High School,5462.0
