name,site,subtypes,category,type,borough,street,city,postal_code,us_state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,verified,location_link,place_id,google_id
Riviera,https://housing.byu.edu/secure/services/c_housing_areas/RivieraInfo.aspx,"Apartment rental agency, Apartment complex",Apartment rental agency,Apartment rental agency,Carterville,1505 N Canyon Rd,Provo,84604.0,Utah,40.2544049,-111.657828,3.1,269,95,27,10,37,100,115,True,"https://www.google.com/maps/place/Riviera/@40.2544049,-111.657828,14z/data=!4m8!1m2!2m1!1sRiviera!3m4!1s0x874d908527c9eb73:0xf2dc74c41f716b71!8m2!3d40.2544049!4d-111.657828",ChIJc-vJJ4WQTYcRcWtxH8R03PI,0x874d908527c9eb73:0xf2dc74c41f716b71
Windsor Park,,Apartment complex,Apartment complex,Apartment complex,Carterville,104 W 1230 N St,Provo,84604.0,Utah,40.2523361,-111.6600392,4.0,38,4,2,0,17,15,7,False,"https://www.google.com/maps/place/Windsor+Park/@40.2523361,-111.6600392,14z/data=!4m8!1m2!2m1!1sWindsor+Park!3m4!1s0x874d90a3d7b3381f:0x845955f1f65affcb!8m2!3d40.2523361!4d-111.6600392",ChIJHziz16OQTYcRy_9a9vFVWYQ,0x874d90a3d7b3381f:0x845955f1f65affcb
Westwood Apartments,https://www.josephthomas.us/property-page-template/westwood-apartments-,Furnished apartment building,Furnished apartment building,Furnished apartment building,North Park,519 W 940 N,Provo,84604.0,Utah,40.24622859999999,-111.6677729,3.4,72,16,3,6,31,16,12,True,"https://www.google.com/maps/place/Westwood+Apartments/@40.246228599999995,-111.66777289999999,14z/data=!4m8!1m2!2m1!1sWestwood+Apartments!3m4!1s0x874d9a09b29367ff:0xceb0ef5128b8d502!8m2!3d40.246228599999995!4d-111.66777289999999",ChIJ_2eTsgmaTYcRAtW4KFHvsM4,0x874d9a09b29367ff:0xceb0ef5128b8d502
MoonRiver Apartments,http://moonriverprovo.com/,Apartment complex,Apartment complex,Apartment complex,Carterville,1552 N Moon River Dr,Provo,84604.0,Utah,40.254945,-111.665573,3.7,17,4,0,2,2,9,3,False,"https://www.google.com/maps/place/MoonRiver+Apartments/@40.254945,-111.665573,14z/data=!4m8!1m2!2m1!1sMoonRiver+Apartments!3m4!1s0x874d918099a245bf:0x811c45cc0d09ecc5!8m2!3d40.254945!4d-111.665573",ChIJv0WimYCRTYcRxewJDcxFHIE,0x874d918099a245bf:0x811c45cc0d09ecc5
Timp Towers Apartments,http://timptowers.com/,Apartment complex,Apartment complex,Apartment complex,Pleasant View,1918 N Canyon Rd,Provo,84604.0,Utah,40.2590915,-111.6556854,3.6,98,22,7,8,16,45,59,True,"https://www.google.com/maps/place/Timp+Towers+Apartments/@40.2590915,-111.6556854,14z/data=!4m8!1m2!2m1!1sTimp+Towers+Apartments!3m4!1s0x874d91d37ee4ef2d:0xaafcf8972503e699!8m2!3d40.2590915!4d-111.6556854",ChIJLe_kftORTYcRmeYDJZf4_Ko,0x874d91d37ee4ef2d:0xaafcf8972503e699
La Jolla,,"Apartment complex, Condominium complex",Apartment complex,Apartment complex,North Park,947 N University Ave,Provo,84604.0,Utah,40.2463261,-111.6591413,3.7,16,5,0,0,1,10,13,False,"https://www.google.com/maps/place/La+Jolla/@40.2463261,-111.6591413,14z/data=!4m8!1m2!2m1!1sLa+Jolla!3m4!1s0x874d90a5e92e5c09:0x2430ebe4de549e24!8m2!3d40.2463261!4d-111.6591413",ChIJCVwu6aWQTYcRJJ5U3uTrMCQ,0x874d90a5e92e5c09:0x2430ebe4de549e24
Riverview Apartments,http://riverviewprovo.com/,Apartment complex,Apartment complex,Apartment complex,Carterville,1955 N 550 W #100,Provo,84604.0,Utah,40.2605477,-111.6680017,3.6,19,4,2,1,2,10,20,True,"https://www.google.com/maps/place/Riverview+Apartments/@40.2605477,-111.66800169999999,14z/data=!4m8!1m2!2m1!1sRiverview+Apartments!3m4!1s0x874d9a76463e26b1:0x119c55885e5a8f84!8m2!3d40.2605477!4d-111.66800169999999",ChIJsSY-RnaaTYcRhI9aXohVnBE,0x874d9a76463e26b1:0x119c55885e5a8f84
Academy Arms,http://www.davidjharrisproperties.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,Joaquin,469 N 100 E,Provo,84606.0,Utah,40.2399274,-111.6573066,3.4,19,3,2,4,4,6,4,True,"https://www.google.com/maps/place/Academy+Arms/@40.2399274,-111.6573066,14z/data=!4m8!1m2!2m1!1sAcademy+Arms!3m4!1s0x874d90ac324ce287:0x7e6ed8b1bbe8b15e!8m2!3d40.2399274!4d-111.6573066",ChIJh-JMMqyQTYcRXrHou7HYbn4,0x874d90ac324ce287:0x7e6ed8b1bbe8b15e
The Atrium Terrace,,Apartment complex,Apartment complex,Apartment complex,North Park,770 N University Ave,Provo,84606.0,Utah,40.2438458,-111.6583235,4.1,15,2,0,2,2,9,12,True,"https://www.google.com/maps/place/The+Atrium+Terrace/@40.243845799999995,-111.6583235,14z/data=!4m8!1m2!2m1!1sThe+Atrium+Terrace!3m4!1s0x874d90af10c75f5f:0xb41b626299ec839a!8m2!3d40.243845799999995!4d-111.6583235",ChIJX1_HEK-QTYcRmoPsmWJiG7Q,0x874d90af10c75f5f:0xb41b626299ec839a
Regency Apartments For Women,http://www.regencyapartments.us/,Apartment rental agency,Apartment rental agency,Apartment rental agency,Joaquin,760 E 820 N,Provo,84606.0,Utah,40.2446083,-111.6454034,4.0,43,3,1,8,13,18,13,True,"https://www.google.com/maps/place/Regency+Apartments+For+Women/@40.244608299999996,-111.64540339999999,14z/data=!4m8!1m2!2m1!1sRegency+Apartments+For+Women!3m4!1s0x874d90b6f6848e1d:0xd6b2a035950fa26a!8m2!3d40.244608299999996!4d-111.64540339999999",ChIJHY6E9raQTYcRaqIPlTWgstY,0x874d90b6f6848e1d:0xd6b2a035950fa26a
Tanaraq on 5th,http://tanaraqon5th.com/,Apartment complex,Apartment complex,Apartment complex,Maeser,490 S State St,Provo,84606.0,Utah,40.2272938,-111.6452517,3.7,50,14,1,1,3,31,75,True,"https://www.google.com/maps/place/Tanaraq+on+5th/@40.2272938,-111.64525169999999,14z/data=!4m8!1m2!2m1!1sTanaraq+on+5th!3m4!1s0x874d97034139bf25:0x3cd61fd457a3d99b!8m2!3d40.2272938!4d-111.64525169999999",ChIJJb85QQOXTYcRm9mjV9Qf1jw,0x874d97034139bf25:0x3cd61fd457a3d99b
Brownstone Condominiums,,Apartment complex,Apartment complex,Apartment complex,Foot Hills,1080 E 450 N,Provo,84606.0,Utah,40.2396621,-111.6400707,3.2,25,6,1,6,6,6,6,False,"https://www.google.com/maps/place/Brownstone+Condominiums/@40.2396621,-111.6400707,14z/data=!4m8!1m2!2m1!1sBrownstone+Condominiums!3m4!1s0x874d90cacde8616d:0x3b13eb181374f9da!8m2!3d40.2396621!4d-111.6400707",ChIJbWHozcqQTYcR2vl0ExjrEzs,0x874d90cacde8616d:0x3b13eb181374f9da
The Boulders,https://www.boulders-apts.com/%3Futm_source%3DGMB%26utm_medium%3Dorganic,Apartment building,Apartment building,Apartment building,Franklin South,750 S 650 W apt 341,Provo,84601.0,Utah,40.2235779,-111.6689155,2.5,173,93,12,4,14,50,34,True,"https://www.google.com/maps/place/The+Boulders/@40.223577899999995,-111.6689155,14z/data=!4m8!1m2!2m1!1sThe+Boulders!3m4!1s0x874d99e332c6d197:0x1e91b448b3d80cab!8m2!3d40.223577899999995!4d-111.6689155",ChIJl9HGMuOZTYcRqwzYs0i0kR4,0x874d99e332c6d197:0x1e91b448b3d80cab
