name,site,subtypes,category,type,borough,street,city,postal_code,us_state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,verified,location_link,place_id,google_id
JSJ Property Management,http://www.jsjmanagement.com/,Property management company,Property management company,Property management company,,302 W Springfield Ave,Champaign,61820.0,Illinois,40.112886,-88.2473011,4.0,607,132,11,11,18,435,19,True,"https://www.google.com/maps/place/JSJ+Property+Management/@40.112885999999996,-88.2473011,14z/data=!4m8!1m2!2m1!1sJSJ+Property+Management!3m4!1s0x880cd734801be1af:0xffac7d746203990e!8m2!3d40.112885999999996!4d-88.2473011",ChIJr-EbgDTXDIgRDpkDYnR9rP8,0x880cd734801be1af:0xffac7d746203990e
CU Property Management,http://www.cupropertymanagement.com/,Property management company,Property management company,Property management company,,1005 S Neil St Ste 2,Champaign,61820.0,Illinois,40.1043929,-88.244041,4.4,105,12,2,1,2,88,4,True,"https://www.google.com/maps/place/CU+Property+Management/@40.1043929,-88.244041,14z/data=!4m8!1m2!2m1!1sCU+Property+Management!3m4!1s0x880cd708de2ef04b:0xfa12fdd44e01487b!8m2!3d40.1043929!4d-88.244041",ChIJS_Au3gjXDIgRe0gBTtT9Evo,0x880cd708de2ef04b:0xfa12fdd44e01487b
"Neves Group Property Management, INC",http://www.nevesgroup.com/,"Property management company, Apartment rental agency, Condominium rental agency, Office space rental agency",Property management company,Property management company,,801 W Bradley Ave,Champaign,61820.0,Illinois,40.1270349,-88.25524419999999,3.2,132,52,6,3,10,61,15,True,"https://www.google.com/maps/place/Neves+Group+Property+Management%2C+INC/@40.1270349,-88.25524419999999,14z/data=!4m8!1m2!2m1!1sNeves+Group+Property+Management%2C+INC!3m4!1s0x880cd0a8ad3673f1:0x924f05cbe227d55a!8m2!3d40.1270349!4d-88.25524419999999",ChIJ8XM2rajQDIgRWtUn4ssFT5I,0x880cd0a8ad3673f1:0x924f05cbe227d55a
"Professional Property Management of CU, Inc.",http://www.ppmrent.com/,"Property management company, Apartment rental agency",Property management company,Property management company,,401 E Springfield Ave,Champaign,61820.0,Illinois,40.11245,-88.2332947,2.3,45,28,2,0,3,12,15,True,"https://www.google.com/maps/place/Professional+Property+Management+of+CU%2C+Inc./@40.112449999999995,-88.2332947,14z/data=!4m8!1m2!2m1!1sProfessional+Property+Management+of+CU%2C+Inc.!3m4!1s0x880cd7476decb0ed:0x153dd92768a3eb14!8m2!3d40.112449999999995!4d-88.2332947",ChIJ7bDsbUfXDIgRFOujaCfZPRU,0x880cd7476decb0ed:0x153dd92768a3eb14
Prime Property Group,https://www.primepropertymgmtgroup.com/,"Property management company, Apartment rental agency, Property maintenance, Real estate rental agency",Property management company,Property management company,,1203 Hagan St,Champaign,61820.0,Illinois,40.1278764,-88.25501679999999,3.3,28,10,1,2,2,13,3,True,"https://www.google.com/maps/place/Prime+Property+Group/@40.1278764,-88.25501679999999,14z/data=!4m8!1m2!2m1!1sPrime+Property+Group!3m4!1s0x880cd0a9b3155555:0x7db3e6cfe101841!8m2!3d40.1278764!4d-88.25501679999999",ChIJVVUVs6nQDIgRQRgQ_mw-2wc,0x880cd0a9b3155555:0x7db3e6cfe101841
Fairlawn Leasing & Resident Services,https://www.fairlawncu.com/,"Property management company, Apartment rental agency",Property management company,Property management company,,2500 Galen Dr,Champaign,61821.0,Illinois,40.0822217,-88.26252149999999,4.4,834,115,9,6,34,670,211,True,"https://www.google.com/maps/place/Fairlawn+Leasing+%26+Resident+Services/@40.0822217,-88.26252149999999,14z/data=!4m8!1m2!2m1!1sFairlawn+Leasing+%26+Resident+Services!3m4!1s0x880cd13ccaef0b01:0x59f0053cc482e128!8m2!3d40.0822217!4d-88.26252149999999",ChIJAQvvyjzRDIgRKOGCxDwF8Fk,0x880cd13ccaef0b01:0x59f0053cc482e128
Community Property Management,http://cpm-apts.com/,"Property management company, Apartment building, Apartment complex, Apartment rental agency, Furnished apartment building",Property management company,Property management company,,408 Kenwood Rd,Champaign,61821.0,Illinois,40.11212889999999,-88.2852824,4.3,554,75,4,12,48,415,13,True,"https://www.google.com/maps/place/Community+Property+Management/@40.112128899999995,-88.2852824,14z/data=!4m8!1m2!2m1!1sCommunity+Property+Management!3m4!1s0x880cd738419b7197:0x8e391d78bc428750!8m2!3d40.112128899999995!4d-88.2852824",ChIJl3GbQTjXDIgRUIdCvHgdOY4,0x880cd738419b7197:0x8e391d78bc428750
Wampler Property Management,http://www.wamplerapartments.com/,"Property management company, Apartment rental agency, Office space rental agency",Property management company,Property management company,,412 W Clark St,Champaign,61820.0,Illinois,40.1154792,-88.249567,4.0,21,4,0,1,3,13,70,True,"https://www.google.com/maps/place/Wampler+Property+Management/@40.115479199999996,-88.249567,14z/data=!4m8!1m2!2m1!1sWampler+Property+Management!3m4!1s0x880cd73374d94a1b:0x5a77d9d587f577f2!8m2!3d40.115479199999996!4d-88.249567",ChIJG0rZdDPXDIgR8nf1h9XZd1o,0x880cd73374d94a1b:0x5a77d9d587f577f2
Vortex Property Group,,Property management company,Property management company,Property management company,,1903 Nancy Ct,Champaign,61822.0,Illinois,40.0818221,-88.27849289999999,3.6,16,3,2,1,2,8,1,False,"https://www.google.com/maps/place/Vortex+Property+Group/@40.0818221,-88.27849289999999,14z/data=!4m8!1m2!2m1!1sVortex+Property+Group!3m4!1s0x880cd1058ef44f7f:0x12063017a9e0e63d!8m2!3d40.0818221!4d-88.27849289999999",ChIJf0_0jgXRDIgRPebgqRcwBhI,0x880cd1058ef44f7f:0x12063017a9e0e63d
Colony Property Management,https://www.colony-property.com/,Property management company,Property management company,Property management company,,701 Devonshire Dr building C,Champaign,61820.0,Illinois,40.08788029999999,-88.2543697,2.2,11,7,0,1,1,2,2,True,"https://www.google.com/maps/place/Colony+Property+Management/@40.087880299999995,-88.2543697,14z/data=!4m8!1m2!2m1!1sColony+Property+Management!3m4!1s0x880cd128f4efe1f1:0xd0a03cab48883bcd!8m2!3d40.087880299999995!4d-88.2543697",ChIJ8eHv9CjRDIgRzTuISKs8oNA,0x880cd128f4efe1f1:0xd0a03cab48883bcd
TLT Properties,http://www.tltproperties.com/,Property management company,Property management company,Property management company,Downtown Champaign,41 E University Ave,Champaign,61820.0,Illinois,40.1160268,-88.2421419,4.7,61,2,1,1,7,50,3,True,"https://www.google.com/maps/place/TLT+Properties/@40.1160268,-88.2421419,14z/data=!4m8!1m2!2m1!1sTLT+Properties!3m4!1s0x880cd74b8fb777d7:0xb9e893134cc92a69!8m2!3d40.1160268!4d-88.2421419",ChIJ13e3j0vXDIgRaSrJTBOT6Lk,0x880cd74b8fb777d7:0xb9e893134cc92a69
Joe Allan Properties,http://www.joeallanproperties.com/,"Property management company, Apartment rental agency",Property management company,Property management company,,816 N Country Fair Dr Ste 5,Champaign,61821.0,Illinois,40.1248572,-88.2796656,3.1,35,14,2,2,1,16,2,True,"https://www.google.com/maps/place/Joe+Allan+Properties/@40.1248572,-88.2796656,14z/data=!4m8!1m2!2m1!1sJoe+Allan+Properties!3m4!1s0x880cd7351edf556d:0x7ddf3e6b86b21e24!8m2!3d40.1248572!4d-88.2796656",ChIJbVXfHjXXDIgRJB6yhms-330,0x880cd7351edf556d:0x7ddf3e6b86b21e24
Illini Management,https://illinimanagement.managebuilding.com/resident/public/home,Property management company,Property management company,Property management company,,4112 Fieldstone Rd,Champaign,61822.0,Illinois,40.113888,-88.3109216,2.5,19,11,0,2,0,6,1,False,"https://www.google.com/maps/place/Illini+Management/@40.113887999999996,-88.3109216,14z/data=!4m8!1m2!2m1!1sIllini+Management!3m4!1s0x880cd1b067440207:0x905d683a134ce114!8m2!3d40.113887999999996!4d-88.3109216",ChIJBwJEZ7DRDIgRFOFMEzpoXZA,0x880cd1b067440207:0x905d683a134ce114
Rent Champaign,https://www.rentchampaign.com/,Property management company,Property management company,Property management company,,705 S Glover Ave,Urbana,61802.0,Illinois,40.1071924,-88.19377569999999,4.2,28,4,1,0,3,20,1,True,"https://www.google.com/maps/place/Rent+Champaign/@40.107192399999995,-88.19377569999999,14z/data=!4m8!1m2!2m1!1sRent+Champaign!3m4!1s0x880cd70acde77441:0x8d4f0d550a70a7dd!8m2!3d40.107192399999995!4d-88.19377569999999",ChIJQXTnzQrXDIgR3adwClUNT40,0x880cd70acde77441:0x8d4f0d550a70a7dd
JSM Living,http://www.jsmliving.com/,"Property management company, Apartment rental agency, Architect, Commercial real estate agency, Real estate agency, Real estate developer",Property management company,Property management company,Campustown,616 E Green St Suite D,Champaign,61820.0,Illinois,40.1105931,-88.2296538,3.6,339,92,9,8,60,170,44,True,"https://www.google.com/maps/place/JSM+Living/@40.110593099999996,-88.2296538,14z/data=!4m8!1m2!2m1!1sJSM+Living!3m4!1s0x880cd7474347c939:0xc13674cb1952d843!8m2!3d40.110593099999996!4d-88.2296538",ChIJOclHQ0fXDIgRQ9hSGct0NsE,0x880cd7474347c939:0xc13674cb1952d843
Tri County Management Group,http://www.tricountymg.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,,908 S Locust St Apt 103,Champaign,61820.0,Illinois,40.1072015,-88.2399607,3.6,18,6,0,0,1,11,5,True,"https://www.google.com/maps/place/Tri+County+Management+Group/@40.107201499999995,-88.2399607,14z/data=!4m8!1m2!2m1!1sTri+County+Management+Group!3m4!1s0x880cd736c7198941:0xaec4a4babac556d4!8m2!3d40.107201499999995!4d-88.2399607",ChIJQYkZxzbXDIgR1FbFurqkxK4,0x880cd736c7198941:0xaec4a4babac556d4
Next Chapter Properties,http://www.nextchapterproperties.com/,"Property management company, Apartment rental agency, Student housing center",Property management company,Property management company,Downtown Champaign,217 S Neil St B,Champaign,61820.0,Illinois,40.1146098,-88.2438746,3.2,61,22,4,1,5,29,5,True,"https://www.google.com/maps/place/Next+Chapter+Properties/@40.1146098,-88.2438746,14z/data=!4m8!1m2!2m1!1sNext+Chapter+Properties!3m4!1s0x880cd735970be0ad:0xf6c50c2a60a6a766!8m2!3d40.1146098!4d-88.2438746",ChIJreALlzXXDIgRZqemYCoMxfY,0x880cd735970be0ad:0xf6c50c2a60a6a766
B Z Management,http://www.bz-management.com/,Property management company,Property management company,Property management company,,1305 Silver St #2,Urbana,61801.0,Illinois,40.0912452,-88.1920037,2.5,12,5,3,0,1,3,1,False,"https://www.google.com/maps/place/B+Z+Management/@40.091245199999996,-88.1920037,14z/data=!4m8!1m2!2m1!1sB+Z+Management!3m4!1s0x880cd7b4a365ea27:0x36b52f6eb94f4f59!8m2!3d40.091245199999996!4d-88.1920037",ChIJJ-plo7TXDIgRWU9PuW4vtTY,0x880cd7b4a365ea27:0x36b52f6eb94f4f59
Green Street Realty,http://www.greenstrealty.com/home%3Futm_source%3DGoogle%2520My%2520Business,"Property management company, Apartment rental agency, Short term apartment rental agency",Property management company,Property management company,,1806 S Cottage Grove Ave #115,Urbana,61801.0,Illinois,40.0958506,-88.1946502,3.2,13,4,2,0,2,5,1,True,"https://www.google.com/maps/place/Green+Street+Realty/@40.0958506,-88.1946502,14z/data=!4m8!1m2!2m1!1sGreen+Street+Realty!3m4!1s0x880cd7b1631ab6a9:0x20b6286ed282feb0!8m2!3d40.0958506!4d-88.1946502",ChIJqbYaY7HXDIgRsP6C0m4otiA,0x880cd7b1631ab6a9:0x20b6286ed282feb0
Cochrane Premier Properties,http://www.cochranepremier.com/,"Property management company, Apartment rental agency",Apartment rental agency,Property management company,,1612 S Neil St,Champaign,61820.0,Illinois,40.0967615,-88.2445674,2.4,12,7,0,1,1,3,14,True,"https://www.google.com/maps/place/Cochrane+Premier+Properties/@40.0967615,-88.2445674,14z/data=!4m8!1m2!2m1!1sCochrane+Premier+Properties!3m4!1s0x880cd70d5acd33e1:0x8dbe7ca84296735a!8m2!3d40.0967615!4d-88.2445674",ChIJ4TPNWg3XDIgRWnOWQqh8vo0,0x880cd70d5acd33e1:0x8dbe7ca84296735a
Green Street Realty,https://www.greenstrealty.com/,"Property management company, Apartment complex, Apartment rental agency, Real estate agency, Real estate consultant, Real estate rental agency, Student housing center",Apartment rental agency,Property management company,,510 S Neil St,Champaign,61820.0,Illinois,40.1107669,-88.2433132,3.6,1024,325,26,23,53,597,642,True,"https://www.google.com/maps/place/Green+Street+Realty/@40.1107669,-88.2433132,14z/data=!4m8!1m2!2m1!1sGreen+Street+Realty!3m4!1s0x880cd735e68322e7:0x5f26df772b526790!8m2!3d40.1107669!4d-88.2433132",ChIJ5yKD5jXXDIgRkGdSK3ffJl8,0x880cd735e68322e7:0x5f26df772b526790
The Weiner Companies Ltd,https://www.weinercompanies.com/,"Property management company, Commercial real estate agency, Real estate agent",Property management company,Property management company,,211 E Green St,Urbana,61801.0,Illinois,40.1105853,-88.2051518,3.1,118,49,5,6,6,52,11,True,"https://www.google.com/maps/place/The+Weiner+Companies+Ltd/@40.1105853,-88.2051518,14z/data=!4m8!1m2!2m1!1sThe+Weiner+Companies+Ltd!3m4!1s0x880cd7a02f2ba8f7:0x9e6a562fbdca8254!8m2!3d40.1105853!4d-88.2051518",ChIJ96grL6DXDIgRVILKvS9Wap4,0x880cd7a02f2ba8f7:0x9e6a562fbdca8254
Roland Realty,http://www.roland-realty.com/,"Property management company, Apartment building, Apartment complex, Furnished apartment building, Apartment rental agency, Real estate agency, Real estate developer, Real estate rental agency",Apartment rental agency,Property management company,,901 S 1st St,Champaign,61820.0,Illinois,40.1077038,-88.23906559999999,3.8,85,20,4,2,4,55,12,True,"https://www.google.com/maps/place/Roland+Realty/@40.107703799999996,-88.23906559999999,14z/data=!4m8!1m2!2m1!1sRoland+Realty!3m4!1s0x880cd7388ae72007:0xdcfd7032d57835ab!8m2!3d40.107703799999996!4d-88.23906559999999",ChIJByDnijjXDIgRqzV41TJw_dw,0x880cd7388ae72007:0xdcfd7032d57835ab
Regency Multifamily,http://www.regency-multifamily.com/,Property management company,Property management company,Property management company,,2417 Fields S Dr,Champaign,61822.0,Illinois,40.0830242,-88.3088348,3.3,24,9,1,0,2,12,6,True,"https://www.google.com/maps/place/Regency+Multifamily/@40.0830242,-88.3088348,14z/data=!4m8!1m2!2m1!1sRegency+Multifamily!3m4!1s0x880cd1c8c808c691:0x35410d3d23c3911a!8m2!3d40.0830242!4d-88.3088348",ChIJkcYIyMjRDIgRGpHDIz0NQTU,0x880cd1c8c808c691:0x35410d3d23c3911a
Royse + Brinkmeyer Apartments,http://www.roysebrinkmeyer.com/,"Property management company, Apartment rental agency, Vacation home rental agency",Apartment rental agency,Property management company,,211 W Springfield Ave,Champaign,61820.0,Illinois,40.112348,-88.246555,4.0,208,38,6,6,20,138,12,True,"https://www.google.com/maps/place/Royse+%2B+Brinkmeyer+Apartments/@40.112348,-88.246555,14z/data=!4m8!1m2!2m1!1sRoyse+%2B+Brinkmeyer+Apartments!3m4!1s0x880cd0b54f3e5011:0x62c7f120f1c85c59!8m2!3d40.112348!4d-88.246555",ChIJEVA-T7XQDIgRWVzI8SDxx2I,0x880cd0b54f3e5011:0x62c7f120f1c85c59
First Column,,"Property management company, Apartment building, Apartment complex, Apartment rental agency, Student housing center",Property management company,Property management company,Campustown,512 E Green St Apt B,Champaign,61820.0,Illinois,40.1105814,-88.2314749,3.8,70,16,3,1,6,44,2,True,"https://www.google.com/maps/place/First+Column/@40.1105814,-88.2314749,14z/data=!4m8!1m2!2m1!1sFirst+Column!3m4!1s0x880cd73f4d23e387:0x173479be4a090e12!8m2!3d40.1105814!4d-88.2314749",ChIJh-MjTT_XDIgREg4JSr55NBc,0x880cd73f4d23e387:0x173479be4a090e12
Gillespie Properties,https://gillespieapts.com/,Apartment rental agency,Apartment rental agency,Apartment rental agency,,705 E Colorado Ave # 104,Urbana,61801.0,Illinois,40.094245,-88.197406,3.7,13,2,3,0,0,8,9,False,"https://www.google.com/maps/place/Gillespie+Properties/@40.094245,-88.197406,14z/data=!4m8!1m2!2m1!1sGillespie+Properties!3m4!1s0x880cd7adf66eb0f9:0x5a7fd033da19ae9b!8m2!3d40.094245!4d-88.197406",ChIJ-bBu9q3XDIgRm64Z2jPQf1o,0x880cd7adf66eb0f9:0x5a7fd033da19ae9b
Bankier Apartments,http://www.bankierapartments.com/,"Apartment rental agency, Apartment building",Apartment rental agency,Apartment rental agency,Campustown,406 E Green St,Champaign,61820.0,Illinois,40.1104343,-88.232916,3.9,81,16,4,2,7,52,15,False,"https://www.google.com/maps/place/Bankier+Apartments/@40.1104343,-88.232916,14z/data=!4m8!1m2!2m1!1sBankier+Apartments!3m4!1s0x880cd73630b52d8f:0x637da24609b4c51b!8m2!3d40.1104343!4d-88.232916",ChIJjy21MDbXDIgRG8W0CUaifWM,0x880cd73630b52d8f:0x637da24609b4c51b
Latitude Apartments,https://www.livelatitude.com/,"Apartment complex, Apartment building, Apartment rental agency, Cottage rental, Furnished apartment building, Property management company, Real estate agency, Real estate rental agency, Student housing center, Townhouse complex",Apartment complex,Apartment complex,,608 E University Ave,Champaign,61820.0,Illinois,40.1166544,-88.22976419999999,3.6,401,124,13,11,17,236,37,True,"https://www.google.com/maps/place/Latitude+Apartments/@40.1166544,-88.22976419999999,14z/data=!4m8!1m2!2m1!1sLatitude+Apartments!3m4!1s0x880cd7378bf55285:0x98a040c70ac2b493!8m2!3d40.1166544!4d-88.22976419999999",ChIJhVL1izfXDIgRk7TCCsdAoJg,0x880cd7378bf55285:0x98a040c70ac2b493
Element on Main Apartments,https://chooseelement.com/,"Apartment complex, Apartment building, Apartment rental agency, Student housing center",Apartment complex,Apartment complex,,502 W Main St,Urbana,61801.0,Illinois,40.114352,-88.2132589,4.4,68,7,2,1,8,50,10,True,"https://www.google.com/maps/place/Element+on+Main+Apartments/@40.114352,-88.2132589,14z/data=!4m8!1m2!2m1!1sElement+on+Main+Apartments!3m4!1s0x880cd773a243a8d3:0xa0097781e482f6c2!8m2!3d40.114352!4d-88.2132589",ChIJ06hDonPXDIgRwvaC5IF3CaA,0x880cd773a243a8d3:0xa0097781e482f6c2
Smith Apartments,http://smithapartments-cu.com/,Apartment building,Apartment building,Apartment building,,604 W Stoughton Street #12,Urbana,61801.0,Illinois,40.1132603,-88.2149848,4.6,19,1,1,0,1,16,1,True,"https://www.google.com/maps/place/Smith+Apartments/@40.1132603,-88.2149848,14z/data=!4m8!1m2!2m1!1sSmith+Apartments!3m4!1s0x880cd772fbc649d5:0x52303664f697cceb!8m2!3d40.1132603!4d-88.2149848",ChIJ1UnG-3LXDIgR68yX9mQ2MFI,0x880cd772fbc649d5:0x52303664f697cceb
Onyx,https://www.aspensquare.com/apartments/illinois/urbana/onyx%3Futm_source%3Dgoogle%26utm_medium%3Dreferral,"Apartment rental agency, Apartment complex",Apartment rental agency,Apartment rental agency,,1321 N Lincoln Ave,Urbana,61801.0,Illinois,40.1247305,-88.2213208,4.0,603,110,11,20,63,399,231,True,"https://www.google.com/maps/place/Onyx/@40.1247305,-88.2213208,14z/data=!4m8!1m2!2m1!1sOnyx!3m4!1s0x880cd76439448047:0x8fcabad6c554d112!8m2!3d40.1247305!4d-88.2213208",ChIJR4BEOWTXDIgREtFUxda6yo8,0x880cd76439448047:0x8fcabad6c554d112
Amber Pointe Apartments,http://www.amber-pointe-apartments.com/,Apartment building,Apartment building,Apartment building,,2002 E Amber Ln,Urbana,61802.0,Illinois,40.0878276,-88.18219719999999,4.4,42,4,1,1,5,31,3,True,"https://www.google.com/maps/place/Amber+Pointe+Apartments/@40.0878276,-88.18219719999999,14z/data=!4m8!1m2!2m1!1sAmber+Pointe+Apartments!3m4!1s0x880cd6330eba7d4d:0x73130fd70979c43d!8m2!3d40.0878276!4d-88.18219719999999",ChIJTX26DjPWDIgRPcR5CdcPE3M,0x880cd6330eba7d4d:0x73130fd70979c43d
Parkside Apartments,https://www.m2regroup.com/properties/parkside%3Futm_source%3DCore70%26utm_medium%3Dorganic%26utm_campaign%3DWebsiteURL,Apartment building,Apartment building,Apartment building,,1205 E Florida Ave,Urbana,61801.0,Illinois,40.0978454,-88.1941786,4.3,60,6,3,1,10,40,20,True,"https://www.google.com/maps/place/Parkside+Apartments/@40.0978454,-88.1941786,14z/data=!4m8!1m2!2m1!1sParkside+Apartments!3m4!1s0x880cd7b0e6a05567:0x4c3d7f060f41c4c2!8m2!3d40.0978454!4d-88.1941786",ChIJZ1Wg5rDXDIgRwsRBDwZ_PUw,0x880cd7b0e6a05567:0x4c3d7f060f41c4c2
Fairlawn Village,https://www.fairlawnre.com/,Apartment complex,Apartment complex,Apartment complex,,300-600 E Fairlawn Dr,Urbana,61801.0,Illinois,40.104018,-88.20092799999999,3.7,35,8,1,2,7,17,3,True,"https://www.google.com/maps/place/Fairlawn+Village/@40.104017999999996,-88.20092799999999,14z/data=!4m8!1m2!2m1!1sFairlawn+Village!3m4!1s0x880cd7a702effe03:0xf885a2e06c5058cb!8m2!3d40.104017999999996!4d-88.20092799999999",ChIJA_7vAqfXDIgRy1hQbOCihfg,0x880cd7a702effe03:0xf885a2e06c5058cb
Hillview Apartments,,Apartment complex,Apartment complex,Apartment complex,,1701 E Florida Ave,Urbana,61802.0,Illinois,40.0977235,-88.1869916,4.7,11,0,0,1,1,9,30,True,"https://www.google.com/maps/place/Hillview+Apartments/@40.0977235,-88.1869916,14z/data=!4m8!1m2!2m1!1sHillview+Apartments!3m4!1s0x880cd7b7c35cbdfd:0xa0ab24feec1b0b17!8m2!3d40.0977235!4d-88.1869916",ChIJ_b1cw7fXDIgRFwsb7P4kq6A,0x880cd7b7c35cbdfd:0xa0ab24feec1b0b17
Stone Ridge Square Apartments,https://www.m2regroup.com/properties/stone-ridge-square%3Futm_source%3Dgbp%26utm_medium%3Dorganic,"Apartment rental agency, Apartment complex",Apartment rental agency,Apartment rental agency,,1714 E Colorado Ave,Urbana,61802.0,Illinois,40.0949085,-88.1871458,4.3,87,7,4,3,11,62,6,True,"https://www.google.com/maps/place/Stone+Ridge+Square+Apartments/@40.094908499999995,-88.1871458,14z/data=!4m8!1m2!2m1!1sStone+Ridge+Square+Apartments!3m4!1s0x880cd7ca1a432b31:0xf904595bfd4ef3c8!8m2!3d40.094908499999995!4d-88.1871458",ChIJMStDGsrXDIgRyPNO_VtZBPk,0x880cd7ca1a432b31:0xf904595bfd4ef3c8
Town & Country Apartments,http://www.liveattownandcountry.com/%3Fswitch_cls%5Bid%5D%3D89718,"Apartment rental agency, Apartment building, Apartment complex",Apartment rental agency,Apartment rental agency,,1032 Kerr Ave,Urbana,61802.0,Illinois,40.12229809999999,-88.19726639999999,3.7,261,73,9,7,13,159,68,True,"https://www.google.com/maps/place/Town+%26+Country+Apartments/@40.122298099999995,-88.19726639999999,14z/data=!4m8!1m2!2m1!1sTown+%26+Country+Apartments!3m4!1s0x880cd78fc6f1efab:0xa829e9410b9aa341!8m2!3d40.122298099999995!4d-88.19726639999999",ChIJq-_xxo_XDIgRQaOaC0HpKag,0x880cd78fc6f1efab:0xa829e9410b9aa341
Crestview Apartments,http://www.rentchampaignurbana.com/,Apartment building,Apartment building,Apartment building,,1806 S Cottage Grove Ave #115,Urbana,61801.0,Illinois,40.0957454,-88.1942789,4.1,52,10,1,0,2,39,52,True,"https://www.google.com/maps/place/Crestview+Apartments/@40.0957454,-88.1942789,14z/data=!4m8!1m2!2m1!1sCrestview+Apartments!3m4!1s0x880cd7b1631ab6a9:0x3457c561ff3c05e8!8m2!3d40.0957454!4d-88.1942789",ChIJqbYaY7HXDIgR6AU8_2HFVzQ,0x880cd7b1631ab6a9:0x3457c561ff3c05e8
Eastland Apartments,https://eastlandapt.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing,Apartment complex,Apartment complex,Apartment complex,,1905 N Cunningham Ave,Urbana,61802.0,Illinois,40.1308078,-88.1997281,4.2,21,2,0,3,2,14,1,False,"https://www.google.com/maps/place/Eastland+Apartments/@40.1308078,-88.1997281,14z/data=!4m8!1m2!2m1!1sEastland+Apartments!3m4!1s0x880cd78792c87577:0x39b1ab0bbb5c87aa!8m2!3d40.1308078!4d-88.1997281",ChIJd3XIkofXDIgRqodcuwursTk,0x880cd78792c87577:0x39b1ab0bbb5c87aa
Prairie Green Apartment Homes,https://www.pedcorliving.com/apartments/prairie-green-apartments,"Apartment complex, Apartment building",Apartment complex,Apartment complex,,2502 Prairie Green Dr,Urbana,61802.0,Illinois,40.1054688,-88.1737855,2.2,20,13,1,0,1,5,34,True,"https://www.google.com/maps/place/Prairie+Green+Apartment+Homes/@40.1054688,-88.1737855,14z/data=!4m8!1m2!2m1!1sPrairie+Green+Apartment+Homes!3m4!1s0x880cd7db8af784a3:0xe29491f8ec3d30aa!8m2!3d40.1054688!4d-88.1737855",ChIJo4T3itvXDIgRqjA97PiRlOI,0x880cd7db8af784a3:0xe29491f8ec3d30aa
901 Western,http://901western.com/,"Apartment complex, Apartment building, Apartment rental agency, Furnished apartment building, Housing complex, Student housing center",Apartment complex,Apartment complex,,901 W Western Ave,Urbana,61801.0,Illinois,40.1120894,-88.21984289999999,4.0,58,12,2,1,4,39,42,True,"https://www.google.com/maps/place/901+Western/@40.112089399999995,-88.21984289999999,14z/data=!4m8!1m2!2m1!1s901+Western!3m4!1s0x880cd76cd92e29e5:0xadf6170a599cfe52!8m2!3d40.112089399999995!4d-88.21984289999999",ChIJ5Sku2WzXDIgRUv6cWQoX9q0,0x880cd76cd92e29e5:0xadf6170a599cfe52
Campus Oaks Apartments,http://www.campusoaks.net/,Apartment building,Apartment building,Apartment building,,502 W Green St,Urbana,61801.0,Illinois,40.1108407,-88.2135201,4.4,10,0,1,1,1,7,16,True,"https://www.google.com/maps/place/Campus+Oaks+Apartments/@40.1108407,-88.2135201,14z/data=!4m8!1m2!2m1!1sCampus+Oaks+Apartments!3m4!1s0x880cd70cc99fb689:0xd8490691b0e594f!8m2!3d40.1108407!4d-88.2135201",ChIJibafyQzXDIgRT1kOG2mQhA0,0x880cd70cc99fb689:0xd8490691b0e594f
The Linc,https://www.aspensquare.com/apartments/illinois/urbana/the-linc%3Futm_source%3Dgoogle%26utm_medium%3Dreferral,"Apartment rental agency, Apartment complex",Apartment rental agency,Apartment rental agency,,1601 N Lincoln Ave,Urbana,61801.0,Illinois,40.1281638,-88.22017799999999,3.9,449,90,16,19,54,270,102,True,"https://www.google.com/maps/place/The+Linc/@40.128163799999996,-88.22017799999999,14z/data=!4m8!1m2!2m1!1sThe+Linc!3m4!1s0x880cd76182aa42a1:0x401a3f21958298ad!8m2!3d40.128163799999996!4d-88.22017799999999",ChIJoUKqgmHXDIgRrZiClSE_GkA,0x880cd76182aa42a1:0x401a3f21958298ad
University Park Apartments Green Street Realty,,Apartment complex,Apartment complex,Apartment complex,,904 N Broadway Ave,Urbana,61801.0,Illinois,40.12039499999999,-88.207034,3.8,13,2,0,2,4,5,16,True,"https://www.google.com/maps/place/University+Park+Apartments+Green+Street+Realty/@40.120394999999995,-88.207034,14z/data=!4m8!1m2!2m1!1sUniversity+Park+Apartments+Green+Street+Realty!3m4!1s0x880cd7876a1f089b:0x4de9837ae7df09e2!8m2!3d40.120394999999995!4d-88.207034",ChIJmwgfaofXDIgR4gnf53qD6U0,0x880cd7876a1f089b:0x4de9837ae7df09e2
HERE Champaign,https://www.herechampaign.com/%3Futm_perq%3Dgbp,"Apartment complex, Apartment building",Apartment complex,Apartment complex,Campustown,308 E Green St,Champaign,61820.0,Illinois,40.1105109,-88.2342474,4.0,242,49,3,5,15,170,143,True,"https://www.google.com/maps/place/HERE+Champaign/@40.1105109,-88.2342474,14z/data=!4m8!1m2!2m1!1sHERE+Champaign!3m4!1s0x880cd737f14b4391:0x308afe7f7713b7cd!8m2!3d40.1105109!4d-88.2342474",ChIJkUNL8TfXDIgRzbcTd3_-ijA,0x880cd737f14b4391:0x308afe7f7713b7cd
