datetime,keyword,trend_index
Nov 2021,Kanye West,11
Dec 2021,Kanye West,10
Jan 2022,Kanye West,15
Feb 2022,Kanye West,30
Mar 2022,Kanye West,19
Apr 2022,Kanye West,10
May 2022,Kanye West,9
Jun 2022,Kanye West,8
Jul 2022,Kanye West,7
Aug 2022,Kanye West,8
Sep 2022,Kanye West,10
Oct 2022,Kanye West,40
Nov 2022,Kanye West,16
Dec 2022,Kanye West,25
Jan 2023,Kanye West,16
Feb 2023,Kanye West,9
Mar 2023,Kanye West,8
Apr 2023,Kanye West,7
May 2023,Kanye West,10
Jun 2023,Kanye West,12
Jul 2023,Kanye West,9
Aug 2023,Kanye West,15
Sep 2023,Kanye West,14
Oct 2023,Kanye West,11
Nov 2023,Kanye West,9
Dec 2023,Kanye West,13
Jan 2024,Kanye West,12
Feb 2024,Kanye West,22
Mar 2024,Kanye West,12
Apr 2024,Kanye West,9
May 2024,Kanye West,8
Jun 2024,Kanye West,7
Jul 2024,Kanye West,7
Aug 2024,Kanye West,9
Sep 2024,Kanye West,8
Oct 2024,Kanye West,10
Nov 2024,Kanye West,7
Dec 2024,Kanye West,6
Jan 2025,Kanye West,7
Feb 2025,Kanye West,62
Mar 2025,Kanye West,10
Apr 2025,Kanye West,11
May 2025,Kanye West,12
Jun 2025,Kanye West,7
Jul 2025,Kanye West,6
Aug 2025,Kanye West,7
Sep 2025,Kanye West,7
Oct 2025,Kanye West,7
Nov 2025,Kanye West,7
Dec 2025,Kanye West,6
Jan 2026,Kanye West,8
Feb 2026,Kanye West,9
Mar 2026,Kanye West,9
Apr 2026,Kanye West,19
Jan 2004,Drake,16
Feb 2004,Drake,16
Mar 2004,Drake,15
Apr 2004,Drake,15
May 2004,Drake,15
Jun 2004,Drake,13
Jul 2004,Drake,12
Aug 2004,Drake,13
Sep 2004,Drake,16
Oct 2004,Drake,16
Nov 2004,Drake,17
Dec 2004,Drake,17
Jan 2005,Drake,18
Feb 2005,Drake,20
Mar 2005,Drake,16
Apr 2005,Drake,17
May 2005,Drake,15
Jun 2005,Drake,14
Jul 2005,Drake,15
Aug 2005,Drake,15
Sep 2005,Drake,15
Oct 2005,Drake,16
Nov 2005,Drake,16
Dec 2005,Drake,16
Jan 2006,Drake,20
Feb 2006,Drake,15
Mar 2006,Drake,16
Apr 2006,Drake,16
May 2006,Drake,16
Jun 2006,Drake,14
Jul 2006,Drake,14
Aug 2006,Drake,17
Sep 2006,Drake,16
Oct 2006,Drake,16
Nov 2006,Drake,14
Dec 2006,Drake,16
Jan 2007,Drake,17
Feb 2007,Drake,15
Mar 2007,Drake,15
Apr 2007,Drake,18
May 2007,Drake,15
Jun 2007,Drake,16
Jul 2007,Drake,17
Aug 2007,Drake,20
Jan 2004,Amber Heard,0
Sep 2007,Drake,18
Feb 2004,Amber Heard,0
Oct 2007,Drake,17
Nov 2007,Drake,18
Mar 2004,Amber Heard,0
Dec 2007,Drake,18
Apr 2004,Amber Heard,0
Jan 2008,Drake,20
May 2004,Amber Heard,0
Feb 2008,Drake,20
Mar 2008,Drake,20
Jun 2004,Amber Heard,0
Apr 2008,Drake,18
Jul 2004,Amber Heard,0
May 2008,Drake,16
Jun 2008,Drake,16
Aug 2004,Amber Heard,0
Jul 2008,Drake,17
Sep 2004,Amber Heard,0
Aug 2008,Drake,18
Sep 2008,Drake,18
Oct 2004,Amber Heard,0
Oct 2008,Drake,19
Nov 2008,Drake,18
Nov 2004,Amber Heard,0
Dec 2008,Drake,22
Jan 2009,Drake,20
Dec 2004,Amber Heard,0
Feb 2009,Drake,23
Jan 2005,Amber Heard,0
Mar 2009,Drake,23
Feb 2005,Amber Heard,0
Apr 2009,Drake,23
May 2009,Drake,32
Jun 2009,Drake,37
Mar 2005,Amber Heard,0
Jul 2009,Drake,39
Apr 2005,Amber Heard,0
Aug 2009,Drake,39
Sep 2009,Drake,38
May 2005,Amber Heard,0
Oct 2009,Drake,36
Jun 2005,Amber Heard,0
Nov 2009,Drake,32
Dec 2009,Drake,36
Jul 2005,Amber Heard,0
